raw_row_number,date,time,location,lat,lng,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
26,2013-11-01,10:40:00,1100 broad st,41.7544251,-72.687084,FROG HOLLOW,59,hispanic,female,64c45ad59f,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Registration,W,H,N,V
19,2013-11-01,10:41:00,1490 main st,41.7748456,-72.6767222,CLAY-ARSENAL,61,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
17,2013-11-01,11:09:00,1363 Main St,41.7729305,-72.67687029999998,DOWNTOWN,22,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,probable cause,Suspended License,B,N,O,M
16,2013-11-01,11:44:00,80 albany av,41.774874800000006,-72.67831029999998,CLAY-ARSENAL,39,hispanic,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,W,H,N,M
23,2013-11-01,13:17:00,trumball st / asylum av,41.7674809,-72.6761073,DOWNTOWN,23,hispanic,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,H,N,I
24,2013-11-01,13:22:00,960 Main St,41.7683709,-72.6721328,DOWNTOWN,24,white,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
22,2013-11-01,13:41:00,capital av @ oak st,41.762220899999996,-72.68457699999998,FROG HOLLOW,64,black,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Window Tint,B,N,N,I
15,2013-11-01,13:45:00,trumbull st @ asylum av,41.76715739999999,-72.6757058,DOWNTOWN,42,white,male,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
20,2013-11-01,14:16:00,buckingham @ washington,41.7616009,-72.6819514,FROG HOLLOW,31,white,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
12,2013-11-01,17:20:00,1293 albany av,41.7820787,-72.6979364,UPPER ALBANY,44,black,male,cc6f7759bc,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Other,B,N,N,V
25,2013-11-01,19:42:00,russ st at lawrence st,41.7615638,-72.68794790000001,FROG HOLLOW,30,hispanic,male,75b9c63cdb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Defective Lights,W,H,N,I
13,2013-11-01,21:45:00,mather st at irving st,41.7805838,-72.68590549999998,CLAY-ARSENAL,44,black,male,f4a14075d9,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
31,2013-11-02,04:50:00,96 martin st,41.788166600000004,-72.68017549999998,NORTHEAST,25,hispanic,female,e8577fd4ce,Hartford,vehicular,FALSE,TRUE,FALSE,citation,TRUE,TRUE,TRUE,probable cause,Other,W,H,O,I
29,2013-11-02,10:46:00,buckingham st at john st,41.760026,-72.6761372,SOUTH GREEN,45,hispanic,male,09739d95d7,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Suspended License,W,H,N,U
30,2013-11-02,21:30:00,russ st at oak st,41.7613099,-72.684336,FROG HOLLOW,25,hispanic,male,07e55624fe,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Other,W,H,N,V
32,2013-11-02,22:14:00,98 pratt st,41.7678739,-72.67496679999998,DOWNTOWN,40,white,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
33,2013-11-03,12:17:00,broad @ madison,41.75443569999999,-72.68708389999998,FROG HOLLOW,38,hispanic,female,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,I
43,2013-11-04,09:05:00,homestead @ garden,41.7751005,-72.68649640000001,CLAY-ARSENAL,56,black,male,a223b081a1,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Traffic Control Signal,B,N,N,M
34,2013-11-04,09:30:00,201 new park av,41.752120700000006,-72.7103628,PARKVILLE,41,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Display of Plates,W,H,N,V
47,2013-11-04,09:40:00,HAMILTON AT BROOKFIELD,41.752965,-72.6992104,FROG HOLLOW,31,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,W
40,2013-11-04,09:54:00,101 LAFAYETTE,41.7605662,-72.6833908,FROG HOLLOW,23,black,female,09739d95d7,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Suspended License,B,N,N,U
45,2013-11-04,11:08:00,new britian av at broad,41.7451729,-72.68719909999999,BARRY SQUARE,28,hispanic,male,1c82b71be1,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Other,W,H,N,I
35,2013-11-04,11:43:00,russ st  washington st,41.76092999999999,-72.681985,SOUTH GREEN,66,white,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
38,2013-11-04,12:02:00,85 washington st,41.7611098,-72.6820053,FROG HOLLOW,45,black,male,09739d95d7,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Registration,B,N,N,U
50,2013-11-04,12:05:00,680 maple av,41.7417147,-72.6831243,SOUTH END,36,hispanic,female,b412aea223,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Other,W,H,N,I
36,2013-11-04,13:02:00,105 webster st,41.7468284,-72.68318909999998,BARRY SQUARE,58,hispanic,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Registration,W,H,N,I
48,2013-11-04,13:23:00,groton st at stonington st,41.75459800000001,-72.6731648,SHELDON-CHARTER OAK,20,hispanic,male,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,I
46,2013-11-04,13:35:00,groton st at stonington st,41.75459800000001,-72.6731648,SHELDON-CHARTER OAK,44,hispanic,male,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,I
39,2013-11-04,14:00:00,groton st at stonginton st,41.75459800000001,-72.6731648,SHELDON-CHARTER OAK,67,hispanic,female,64c45ad59f,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,V
49,2013-11-04,14:28:00,MAIN ST AT CAPITOL AV,41.760780100000005,-72.6749012,DOWNTOWN,33,hispanic,female,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,H,N,I
44,2013-11-04,14:35:00,preston st at franklin av,41.7396475,-72.6757473,SOUTH END,23,hispanic,male,b0b43009dc,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,H,N,I
52,2013-11-04,15:05:00,396 Main St,41.76066700000001,-72.6746677,DOWNTOWN,28,hispanic,male,09739d95d7,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Other,W,H,N,U
37,2013-11-04,15:50:00,144 albany av,41.77541550000001,-72.67920690000003,CLAY-ARSENAL,51,white,male,bc59d4946f,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Other,W,N,N,V
42,2013-11-04,16:45:00,543 maple av,41.7450079,-72.68202819999998,BARRY SQUARE,38,hispanic,male,b0b43009dc,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Display of Plates,W,H,N,M
41,2013-11-04,18:37:00,195 washinton st,41.7566241,-72.68248559999998,SOUTH GREEN,26,hispanic,female,3b4d309830,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Other,W,H,N,U
53,2013-11-04,19:16:00,Windsor St @ Boce Barlow,41.79108249999999,-72.6687014,NORTHEAST,43,black,female,c77dadf6b6,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,B,N,N,I
51,2013-11-04,19:20:00,198 wethesfield av,41.750525200000006,-72.6735296,SHELDON-CHARTER OAK,36,hispanic,male,027b5eaf0e,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,V
66,2013-11-05,07:43:00,200 garden st,41.773283899999996,-72.6871346,ASYLUM HILL,32,black,male,d3be705adb,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,B,N,N,I
81,2013-11-05,08:15:00,2964 main st,41.79244190000001,-72.66602379999998,NORTHEAST,34,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
60,2013-11-05,08:27:00,837 windsor st,41.790839500000004,-72.6689282,NORTHEAST,54,white,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,W,N,N,M
55,2013-11-05,08:52:00,60 walnut st,41.772281,-72.6804648,DOWNTOWN,42,black,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
68,2013-11-05,08:53:00,150 ALBANY AV,41.7754971,-72.67932309999998,CLAY-ARSENAL,30,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
67,2013-11-05,09:32:00,Unknown Location,NA,NA,NA,32,black,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
63,2013-11-05,09:55:00,2048 main st,41.7825534,-72.6754926,CLAY-ARSENAL,59,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,probable cause,Suspended License,B,N,O,M
72,2013-11-05,10:02:00,cornwall @ sharon,41.789260799999994,-72.7032102,BLUE HILLS,20,black,male,027203cb0e,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Window Tint,B,N,N,V
59,2013-11-05,10:25:00,42 homestead av,41.7761729,-72.6882086,UPPER ALBANY,40,black,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Registration,B,N,N,M
79,2013-11-05,10:45:00,48 amity,41.7583044,-72.70987769999998,PARKVILLE,59,black,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Cell Phone,B,N,N,W
56,2013-11-05,10:49:00,130 homestead av,41.777122799999994,-72.6919583,UPPER ALBANY,51,white,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,W,N,N,M
69,2013-11-05,10:50:00,albany @ high,41.78609700000001,-72.7367189,NA,31,black,male,a223b081a1,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,B,N,N,I
58,2013-11-05,10:51:00,20 chestnut st,41.7732435,-72.6804348,CLAY-ARSENAL,23,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Display of Plates,B,N,N,M
57,2013-11-05,11:00:00,hamilton st at brookfield,41.752965,-72.6992104,FROG HOLLOW,66,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,W
65,2013-11-05,12:06:00,40 jennings rd,41.787361100000005,-72.65442970000002,NORTH MEADOWS,54,white,male,5ff5566d6f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
82,2013-11-05,12:15:00,100 Pearl St,41.7663459,-72.6748922,DOWNTOWN,42,white,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Other,W,N,N,I
64,2013-11-05,12:20:00,32 park av,41.7559664,-72.7064415,PARKVILLE,45,white,female,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Display of Plates,W,N,N,V
70,2013-11-05,13:07:00,221 Trumbull St,41.76775809999999,-72.67604940000001,DOWNTOWN,51,white,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
54,2013-11-05,13:15:00,ASYLUM AT TRUMBULL,41.76715739999999,-72.6757058,DOWNTOWN,19,white,male,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
76,2013-11-05,14:19:00,sequassen @ huyshope,41.756414500000005,-72.66520299999998,SHELDON-CHARTER OAK,63,white,male,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
74,2013-11-05,14:50:00,sequassen @ huyshope,41.756414500000005,-72.66520299999998,SHELDON-CHARTER OAK,45,hispanic,male,64c45ad59f,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Stop Sign,W,H,N,U
75,2013-11-05,15:00:00,363 hudson st,41.7581162,-72.67865809999998,SOUTH GREEN,55,white,male,ce747410a8,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,V
80,2013-11-05,15:20:00,franklin @ barker,41.7434822,-72.67643869999998,BARRY SQUARE,76,white,male,b0b43009dc,Hartford,vehicular,FALSE,FALSE,TRUE,warning,FALSE,TRUE,FALSE,probable cause,Traffic Control Signal,W,N,O,V
61,2013-11-05,15:26:00,363 hudson st,41.7581162,-72.67865809999998,SOUTH GREEN,24,hispanic,male,ce747410a8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Window Tint,W,H,N,M
62,2013-11-05,18:07:00,CHARTER OAK PL AT WYLLYS ST,41.7564216,-72.6736178,SHELDON-CHARTER OAK,44,black,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,B,N,N,I
78,2013-11-05,18:20:00,160 south st,41.7350622,-72.67819,SOUTH END,25,white,male,b0b43009dc,Hartford,vehicular,FALSE,TRUE,FALSE,citation,FALSE,TRUE,FALSE,probable cause,Traffic Control Signal,W,N,O,I
71,2013-11-05,18:39:00,2967 main st,41.7932719,-72.66737420000001,NORTHEAST,31,black,female,a3c5e74ce1,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Traffic Control Signal,B,N,N,V
77,2013-11-05,18:55:00,CHARTER OAK PL AT WYLLYS ST,41.7564216,-72.6736178,SHELDON-CHARTER OAK,26,white,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,I
73,2013-11-05,19:33:00,sigourney st I84,41.7671542,-72.69257809999998,ASYLUM HILL,46,white,male,a255ed6b08,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Traffic Control Signal,W,N,N,V
95,2013-11-06,07:47:00,sequassen st at huyshope,41.756414500000005,-72.66520299999998,SHELDON-CHARTER OAK,47,black,female,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,B,N,N,I
87,2013-11-06,08:00:00,34 Sequassen St,41.756899100000005,-72.6653309,SHELDON-CHARTER OAK,52,hispanic,male,64c45ad59f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Registration,W,H,N,I
110,2013-11-06,08:50:00,park ter at sigourney st,41.762145200000006,-72.69290759999998,FROG HOLLOW,36,black,female,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Moving Violation,B,N,N,W
98,2013-11-06,08:57:00,14 ward pl,41.749962700000005,-72.6943429,BEHIND THE ROCKS,57,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
117,2013-11-06,09:00:00,27 newton st,41.7579544,-72.70761479999999,PARKVILLE,29,white,female,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Registration,W,N,N,M
94,2013-11-06,09:11:00,sisson av at 84 off ramp,NA,NA,NA,31,black,female,5ff5566d6f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Seatbelt,B,N,N,I
86,2013-11-06,09:17:00,Weston st @ bocce barlow,NA,NA,NA,47,white,male,531ec1b43e,Hartford,vehicular,FALSE,FALSE,TRUE,warning,FALSE,TRUE,FALSE,probable cause,Speed Related,W,N,O,W
122,2013-11-06,09:53:00,2550 MAIN ST,41.7887356,-72.6715188,NORTHEAST,28,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
126,2013-11-06,10:08:00,174 brookfield,41.7489141,-72.7043358,BEHIND THE ROCKS,26,black,male,d83c8ba318,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,B,N,N,I
88,2013-11-06,10:27:00,2 nelson st,41.7868845,-72.6737373,NORTHEAST,44,black,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,B,N,N,M
89,2013-11-06,10:32:00,WESTON ST AT BOCE BARLOW,41.7889336,-72.6622053,NORTH MEADOWS,67,white,male,eeb3021e4a,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,N,N,I
106,2013-11-06,10:44:00,rev. moody parkway,41.7789449,-72.667648,NORTH MEADOWS,31,white,male,5ff5566d6f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
91,2013-11-06,10:47:00,2233 main st,41.785123,-72.67503070000001,NORTHEAST,33,hispanic,female,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,W,H,N,M
101,2013-11-06,11:14:00,asylum st at union,41.7678479,-72.681506099999993,DOWNTOWN,20,white,male,09739d95d7,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Other,W,N,N,I
116,2013-11-06,11:16:00,2121 Main St,41.78375820000001,-72.6757875,NORTHEAST,53,black,female,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Suspended License,B,N,N,M
90,2013-11-06,11:16:00,50 weston st,41.7847211,-72.6631451,NORTH MEADOWS,33,white,female,5ff5566d6f,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
93,2013-11-06,11:29:00,218 albany av,41.7761817,-72.6804772,CLAY-ARSENAL,22,black,male,8d927f52b8,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Registration,B,N,N,M
97,2013-11-06,11:32:00,38 crown st,41.74430419999999,-72.6841017,BARRY SQUARE,25,hispanic,male,1c82b71be1,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Window Tint,W,H,N,M
84,2013-11-06,11:51:00,65 hillside av,41.7516284,-72.69796240000001,BEHIND THE ROCKS,38,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Display of Plates,W,H,N,V
121,2013-11-06,12:15:00,HARTFORD,41.76371109999999,-72.6850932,DOWNTOWN,48,hispanic,male,8b2fef1448,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Traffic Control Signal,W,H,N,I
102,2013-11-06,12:24:00,495 washington st,41.747359700000004,-72.6832633,BARRY SQUARE,34,black,male,1c82b71be1,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Window Tint,B,N,N,V
125,2013-11-06,12:30:00,611 MAPLE AV,41.74395379999999,-72.6825363,BARRY SQUARE,30,hispanic,male,1c82b71be1,Hartford,vehicular,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,Other,W,H,N,M
109,2013-11-06,12:37:00,111 hilside av,41.749172200000004,-72.6980016,BEHIND THE ROCKS,37,black,male,d83c8ba318,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Stop Sign,B,N,N,W
111,2013-11-06,12:57:00,TRUMBULL ST AT ASYLUM,41.76715739999999,-72.6757058,DOWNTOWN,77,white,male,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Moving Violation,W,N,N,I
85,2013-11-06,13:14:00,linmore @ rose,NA,NA,NA,33,white,female,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
119,2013-11-06,13:20:00,hillside @ linmoe,NA,NA,NA,30,white,male,5ac7b58482,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Stop Sign,W,N,N,I
100,2013-11-06,13:23:00,wells at trumbull st,41.7630881,-72.67513000000001,DOWNTOWN,38,hispanic,female,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,H,N,I
83,2013-11-06,13:37:00,MAIN ST AT SHELDON,41.7618117,-72.67457350000002,DOWNTOWN,54,black,male,09739d95d7,Hartford,vehicular,TRUE,FALSE,FALSE,arrest,NA,FALSE,FALSE,NA,Registration,B,N,N,U
107,2013-11-06,13:43:00,PEARL ST AT TRUMBULL,41.7663537,-72.67590009999998,DOWNTOWN,22,white,male,df0b54e2c2,Hartford,vehicular,FALSE,TRUE,FALSE,citation,NA,FALSE,FALSE,NA,Cell Phone,W,N,N,I
113,2013-11-06,14:10:00,wethersfield @ wayl/,41.7386125,-72.67150600000001,SOUTH END,39,white,male,bfd95da21a,Hartford,vehicular,FALSE,FALSE,TRUE,warning,NA,FALSE,FALSE,NA,Window Tint,W,N,N,V
